Year,Region,Postcode,Data Item,Sum of Value
2014,Lake Burley Griffin,2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Construction (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Currently unknown (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Education and training (no.),0
2014,Lake Burley Griffin,2600,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Financial and insurance services (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Manufacturing (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Mining (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Other services (no.),0
2014,Lake Burley Griffin,2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Lake Burley Griffin,2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Retail trade (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Total (no.),0
2014,Lake Burley Griffin,2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Accommodation and food services (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Administrative and support services (no.),0
2015,Lake Burley Griffin,2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Construction (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Currently unknown (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Education and training (no.),0
2015,Lake Burley Griffin,2600,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Financial and insurance services (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Manufacturing (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Mining (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Other services (no.),0
2015,Lake Burley Griffin,2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Lake Burley Griffin,2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Retail trade (no.),0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Total (no.),0
2015,Lake Burley Griffin,2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2015,Lake Burley Griffin,2600,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Latham,2615,Number of Businesses by Industry - Accommodation and food services (no.),3
2014,Latham,2615,Number of Businesses by Industry - Administrative and support services (no.),9
2014,Latham,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Latham,2615,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Latham,2615,Number of Businesses by Industry - Construction (no.),51
2014,Latham,2615,Number of Businesses by Industry - Currently unknown (no.),0
2014,Latham,2615,Number of Businesses by Industry - Education and training (no.),3
2014,Latham,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Latham,2615,Number of Businesses by Industry - Financial and insurance services (no.),7
2014,Latham,2615,Number of Businesses by Industry - Health care and social assistance (no.),3
2014,Latham,2615,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Latham,2615,Number of Businesses by Industry - Manufacturing (no.),7
2014,Latham,2615,Number of Businesses by Industry - Mining (no.),0
2014,Latham,2615,Number of Businesses by Industry - Other services (no.),7
2014,Latham,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",28
2014,Latham,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Latham,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",4
2014,Latham,2615,Number of Businesses by Industry - Retail trade (no.),5
2014,Latham,2615,Number of Businesses by Industry - Total (no.),148
2014,Latham,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",15
2014,Latham,2615,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Latham,2615,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Latham,2615,Number of Businesses by Industry - Administrative and support services (no.),9
2015,Latham,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Latham,2615,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Latham,2615,Number of Businesses by Industry - Construction (no.),49
2015,Latham,2615,Number of Businesses by Industry - Currently unknown (no.),4
2015,Latham,2615,Number of Businesses by Industry - Education and training (no.),0
2015,Latham,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Latham,2615,Number of Businesses by Industry - Financial and insurance services (no.),7
2015,Latham,2615,Number of Businesses by Industry - Health care and social assistance (no.),3
2015,Latham,2615,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Latham,2615,Number of Businesses by Industry - Manufacturing (no.),7
2015,Latham,2615,Number of Businesses by Industry - Mining (no.),0
2015,Latham,2615,Number of Businesses by Industry - Other services (no.),6
2015,Latham,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",27
2015,Latham,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Latham,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",4
2015,Latham,2615,Number of Businesses by Industry - Retail trade (no.),6
2015,Latham,2615,Number of Businesses by Industry - Total (no.),144
2015,Latham,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",13
2015,Latham,2615,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Accommodation and food services (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Administrative and support services (no.),0
2014,Lawson,2783,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Lawson,2783,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Construction (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Currently unknown (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Education and training (no.),0
2014,Lawson,2783,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Lawson,2783,Number of Businesses by Industry - Financial and insurance services (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Manufacturing (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Mining (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Other services (no.),0
2014,Lawson,2783,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2014,Lawson,2783,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Lawson,2783,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2014,Lawson,2783,Number of Businesses by Industry - Retail trade (no.),0
2014,Lawson,2783,Number of Businesses by Industry - Total (no.),0
2014,Lawson,2783,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2014,Lawson,2783,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Accommodation and food services (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Administrative and support services (no.),0
2015,Lawson,2783,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Lawson,2783,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Construction (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Currently unknown (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Education and training (no.),0
2015,Lawson,2783,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Lawson,2783,Number of Businesses by Industry - Financial and insurance services (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Manufacturing (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Mining (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Other services (no.),0
2015,Lawson,2783,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2015,Lawson,2783,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Lawson,2783,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Lawson,2783,Number of Businesses by Industry - Retail trade (no.),0
2015,Lawson,2783,Number of Businesses by Industry - Total (no.),0
2015,Lawson,2783,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2015,Lawson,2783,Number of Businesses by Industry - Wholesale trade (no.),0
